Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume
2023-03-23,0.5,1.6,0.5,1.3217,495714259.2,1679615999999000000,669932083.21377,1554607,239582225.3,324232707.79253
2023-03-24,1.3218,1.5675,1.1717,1.2727,543509688.1,1679702399999000000,752523772.91822,1454212,256537764.5,356122482.00129
2023-03-25,1.2726,1.315,1.18,1.2178,281919109.5,1679788799999000000,349520142.61178,594751,132853921.8,164852695.4293
2023-03-26,1.2179,1.3499,1.2021,1.2818,242122030.3,1679875199999000000,310185662.0224,450244,121101774.6,155184560.24642
2023-03-27,1.2818,1.3259,1.116,1.1657,255551499.3,1679961599999000000,311604780.54595,478861,116410350.0,142328793.16518
2023-03-28,1.1658,1.224,1.11,1.2204,202773340.2,1680047999999000000,234892901.28842,368178,101468149.3,117815450.54963
2023-03-29,1.2202,1.2767,1.1957,1.2257,192740067.4,1680134399999000000,237899785.88639,327097,95260399.0,117662729.89337
2023-03-30,1.2257,1.43,1.2234,1.3796,432682328.8,1680220799999000000,578876650.49493,800177,222740167.3,298007301.57198
2023-03-31,1.3795,1.445,1.3274,1.3897,237400514.1,1680307199999000000,328861551.68498,481411,120354416.3,166873172.49637
2023-04-01,1.3897,1.4028,1.26,1.2931,176749888.6,1680393599999000000,233821986.97862,351155,81882061.9,108275353.11871
2023-04-02,1.293,1.2985,1.1329,1.2016,273657244.1,1680479999999000000,331454458.65718,510219,134871807.1,163428692.30468
2023-04-03,1.2017,1.2279,1.1,1.153,238034627.3,1680566399999000000,280329403.36809,480886,113927329.6,134370729.221
2023-04-04,1.1527,1.2687,1.1479,1.2345,175931684.0,1680652799999000000,212519021.88563,339191,92979020.9,112386980.62921
2023-04-05,1.2345,1.2905,1.2046,1.2425,147233101.0,1680739199999000000,184702389.63259,308117,72829918.3,91450838.62234
2023-04-06,1.2419,1.2444,1.18,1.2149,93713487.2,1680825599999000000,113173742.52655,227094,45582544.4,55059651.02043
2023-04-07,1.2151,1.2469,1.1813,1.197,76374712.6,1680911999999000000,92414847.97276,185853,36323679.1,43989921.79432
2023-04-08,1.1969,1.21,1.1523,1.1618,57591943.0,1680998399999000000,68131764.02687,146087,25671366.2,30409254.14165
2023-04-09,1.1618,1.2,1.1431,1.1815,59181617.2,1681084799999000000,69163981.78289,140203,29097338.6,34035243.32405
2023-04-10,1.1815,1.2539,1.1625,1.2423,98770687.8,1681171199999000000,118976514.6686,184296,50232772.5,60597476.06587
2023-04-11,1.2423,1.259,1.2032,1.2164,85393969.6,1681257599999000000,105254360.64188,165996,41647632.9,51350540.40925
2023-04-12,1.2162,1.2193,1.1528,1.1934,103650019.0,1681343999999000000,122754788.29227,200475,49522981.8,58659558.87483
2023-04-13,1.1935,1.377,1.1777,1.369,229925695.5,1681430399999000000,301216866.63952,436333,118002129.7,154286069.16094
2023-04-14,1.3689,1.745,1.368,1.6985,531188625.7,1681516799999000000,826118730.3246701,1141885,275961711.2,428934042.99811
2023-04-15,1.6982,1.744,1.595,1.6531,248513399.8,1681603199999000000,414207243.82855,572672,127733427.1,212974825.0522
2023-04-16,1.6531,1.7228,1.572,1.6957,203386521.6,1681689599999000000,332642833.7275,432930,99635034.6,163068068.58451
2023-04-17,1.6957,1.6993,1.5819,1.6012,93348066.6,1681775999999000000,152456047.33698,213044,44439331.8,72573572.48386
