Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume
2021-11-27,0.0001138,0.000145,0.0001138,0.0001365,720771.77,1638057599999000000,94.07545776,10397,360956.22,47.53380651
2021-11-28,0.0001366,0.0001435,0.0001132,0.0001215,506107.98,1638143999999000000,63.14788849,5516,229825.12,28.64586496
2021-11-29,0.0001215,0.0001237,0.0001106,0.0001176,214821.59,1638230399999000000,24.94515085,2607,106344.0,12.35112199
2021-11-30,0.0001177,0.0001178,0.000108,0.00011,191436.84,1638316799999000000,21.6422918,2284,74042.51,8.3875797
2021-12-01,0.0001104,0.0001117,9.03e-05,9.48e-05,583970.4,1638403199999000000,57.23896397,5365,254952.96,24.95035304
2021-12-02,9.48e-05,0.0001019,8.73e-05,9.91e-05,385992.38,1638489599999000000,36.10261577,3550,218404.15,20.50246017
2021-12-03,9.91e-05,0.00012,9.2e-05,9.53e-05,749594.32,1638575999999000000,77.25992871,6878,371321.18,38.50154003
2021-12-04,9.53e-05,0.0001263,8.21e-05,0.0001072,991283.31,1638662399999000000,105.05539702,10074,510135.45,53.96061957
2021-12-05,0.0001076,0.000146,9.01e-05,9.79e-05,727463.83,1638748799999000000,78.29927355,10603,346219.34,38.18814745
2021-12-06,9.84e-05,9.87e-05,8.21e-05,9.7e-05,831736.76,1638835199999000000,74.48607384,5999,419422.07,37.69069749
2021-12-07,9.68e-05,9.89e-05,8.72e-05,8.84e-05,326908.22,1638921599999000000,30.76139457,2536,204939.33,19.33749083
2021-12-08,8.85e-05,9.1e-05,8.4e-05,8.41e-05,192938.64,1639007999999000000,17.02265113,2149,86313.42,7.63371282
2021-12-09,8.45e-05,8.93e-05,8.2e-05,8.21e-05,226788.97,1639094399999000000,19.35950452,2838,113412.76,9.71187733
2021-12-10,8.24e-05,8.46e-05,7.39e-05,7.4e-05,433483.72,1639180799999000000,34.16174792,3263,211431.25,16.70248283
2021-12-11,7.47e-05,7.85e-05,7.27e-05,7.69e-05,168739.04,1639267199999000000,12.81584235,1686,90422.05,6.87533555
2021-12-12,7.68e-05,0.0001085,7.63e-05,9.93e-05,1587753.9,1639353599999000000,152.87951838,21394,850912.33,81.43082644
2021-12-13,9.92e-05,0.0001016,8.11e-05,8.69e-05,1060051.77,1639439999999000000,94.7433937,14773,506199.53,45.36233021
2021-12-14,8.68e-05,9.27e-05,7.89e-05,8.45e-05,550280.44,1639526399999000000,46.39478962,7753,258969.55,21.85864764
2021-12-15,8.45e-05,9.44e-05,8.07e-05,8.69e-05,495245.19,1639612799999000000,42.27922187,6364,223703.46,19.10781319
2021-12-16,8.68e-05,9.97e-05,8.41e-05,9.03e-05,427601.13,1639699199999000000,38.5911008,8471,224275.87,20.21351306
